Marca,Modelo,Fecha_Publicacion,Peso_Mujer,Peso_Hombre,Precio,Drop,Perfil_Anterior,Perfil_Posterior,taco,terreno_categoria,distancia_categoria,corredor_categoria,durabilidad_categoria,upper_categoria,mediasuela_categoria,suela_categoria,placa
Joma,Rase 2022,2023-03-07,333.0,333.0,75.0,8.0,20.0,28.0,3.0,Técnico,Larga,Pesado,Alta,Hilo,EVA Convencional,,
NNormal,Tomir,2023-02-20,240.0,240.0,160.0,8.0,23.0,31.0,5.5,Polivalente,Maratón,Medio,Alta,,EVA Convencional,Vibram,
Atom,Terra,2023-02-09,305.0,305.0,89.9,9.0,26.0,35.0,,Fácil/Rodador,Media,Medio,Media,,,,Antirrocas
NNormal,Kjerag,2023-02-02,200.0,200.0,190.0,6.0,17.5,23.5,3.5,Compacto/Roca,Corta,Ligero,Alta,Keblar,Supercrítico,Vibram,Antirrocas
Salomon,Pulsar Trail Pro,2023-01-29,230.0,270.0,150.0,6.0,27.0,33.0,3.5,Fácil/Rodador,Media,Medio,Alta,Malla,TPU,Salomon Contagrip,TPU
Scott,Ultra Carbon RC,2023-01-24,270.0,300.0,219.9,5.0,21.0,29.0,,Fácil/Rodador,Maratón,Medio,Media,Hilo,EVA Convencional,,Carbono
La Sportiva,Cyklon Cross GTX,2023-01-17,300.0,355.0,249.99,4.0,19.5,26.5,7.0,Barro/Blando,Media,Ligero,Media,Membrana,EVA Convencional,La Sportiva Frixion,TPU
On,Cloudvista Waterproof,2023-01-15,250.0,305.0,179.95,7.0,22.0,28.0,2.0,Polivalente,Media,Ligero,Alta,Hilo,EVA Modificada (OBC/Goma),On Running Missiongrip,TPU
Salomon,SpeedCross 6,2022-12-29,262.0,298.0,140.0,10.0,22.0,32.0,,Barro/Blando,Maratón,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
Nike,ZoomX Zegama,2022-12-20,265.0,289.0,159.99,4.0,32.0,36.0,,Fácil/Rodador,Ultra,Medio,Alta,,PEBA,,
Salomon,Pulsar Trail,2022-12-15,244.0,280.0,130.0,6.0,24.0,33.0,3.5,Fácil/Rodador,Larga,Pesado,Alta,,TPU,Salomon Contagrip,TPU
Hoka,Anacapa Mid Gore-Tex,2022-12-11,384.0,453.0,180.0,6.0,30.0,37.0,5.0,Técnico,Larga,Medio,Media,Membrana,EVA Convencional,Vibram,
Merrell,Moab Flight,2022-11-29,280.0,280.0,140.0,10.0,21.0,29.0,3.0,Polivalente,Media,Ligero,Alta,Malla,EVA Convencional,Vibram,
Adidas,Terrex Agravic Tech Pro,2022-11-27,420.0,420.0,249.95,7.0,24.0,30.0,4.0,Técnico,Larga,Medio,Alta,,EVA Convencional,Continental,
Merrell,Agility Peak 4,2022-11-24,300.0,300.0,150.0,6.0,26.0,31.0,,Polivalente,Ultra,Medio,Alta,Hilo,EVA Convencional,Vibram,
Altra,Olympus 5,2022-11-22,295.0,350.0,180.0,0.0,33.0,33.0,4.0,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,Antirrocas
Asics,Fuji Lite 3,2022-11-21,225.0,260.0,140.0,4.0,24.0,28.0,,Polivalente,Media,Ligero,Alta,,EVA Bio/Orgánica,Asicsgrip,Antirrocas
Hoka,Mafate Speed 4,2022-10-25,241.0,295.0,180.0,4.0,29.0,33.0,5.0,Técnico,Ultra,Pesado,Media,Hilo,EVA Modificada (OBC/Goma),Vibram,
Merrell,Agility Peak 4 Gore-Tex,2022-10-20,264.0,320.0,180.0,6.0,26.0,31.0,5.0,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,
New Balance,DynaSoft Nitrel v5,2022-10-18,236.0,294.0,100.0,6.0,20.0,26.0,,Fácil/Rodador,Corta,Medio,Alta,Hilo,,,
Brooks,Catamount,2022-10-04,250.0,264.0,160.0,6.0,24.0,30.0,,Compacto/Roca,Corta,Ligero,Alta,Malla,Supercrítico,Brooks Trailtack,TPU
Merrell,MTL MQM,2022-09-25,250.0,290.0,150.0,6.0,20.0,28.0,,Técnico,Corta,Ligero,Alta,Hilo,,Vibram,
Mizuno,Wave Rider TT 2022,2022-09-20,240.0,285.0,160.0,12.0,19.0,31.0,3.0,Polivalente,Media,Medio,Media,Malla,,Mizuno,
Brooks,Cascadia 16,2022-09-18,269.0,298.0,140.0,8.0,24.0,32.0,3.0,Polivalente,Ultra,Medio,Media,Hilo,Supercrítico,,
La Sportiva,Ultra Raptor II,2022-09-15,295.0,355.0,149.99,9.0,22.0,29.0,,Técnico,Ultra,Pesado,Media,Malla,,La Sportiva Frixion,
Asics,FujiSpeed,2022-09-13,210.0,240.0,160.0,5.0,21.0,26.0,,Fácil/Rodador,Corta,Ligero,Alta,Hilo,PEBA,Asicsgrip,Pebax
Saucony,Endorphin Edge,2022-09-12,221.0,255.0,230.0,6.0,27.0,37.0,4.0,Polivalente,Ultra,Ligero,Baja,Malla,TPU,Saucony Pwrtrac,Carbono
Scott,Supertrac 3,2022-09-11,290.0,320.0,139.9,8.0,15.0,20.0,6.0,Polivalente,Larga,Pesado,Alta,Hilo,EVA Convencional,,Antirrocas
Saucony,Xodus Ultra,2022-08-21,253.0,293.0,165.0,6.0,26.5,32.5,4.5,Polivalente,Ultra,Medio,Media,,EVA Convencional,Saucony Pwrtrac,Antirrocas
Nike,React Pegasus Trail 4,2022-08-02,291.0,291.0,129.99,9.0,22.0,32.0,,Fácil/Rodador,Larga,Ligero,Media,Malla,,,
Merrell,Bravada 2 WP,2022-07-31,275.0,275.0,135.0,8.0,20.0,28.0,,Polivalente,Larga,Pesado,Media,Malla,EVA Convencional,Asics AHAR,
Hoka,Tecton X,2022-07-28,196.0,240.0,190.0,5.0,27.0,32.0,4.0,Compacto/Roca,Larga,Ligero,Media,Hilo,EVA Modificada (OBC/Goma),Vibram,Carbono
Atom,Terra Waterproof,2022-07-24,291.0,305.0,90.0,9.0,26.0,35.0,,Fácil/Rodador,Corta,Ligero,Alta,,,,
Hoka,Speedgoat 5,2022-07-21,234.0,291.0,160.0,4.0,29.0,33.0,,Polivalente,Ultra,Medio,Baja,Malla,EVA Convencional,Vibram,
Brooks,Caldera 6,2022-07-19,278.0,312.0,150.0,6.0,30.0,36.0,4.0,Polivalente,Larga,Medio,Alta,Malla,Supercrítico,Brooks Trailtack,
Mizuno,Wave Daichi 7,2022-07-18,255.0,300.0,145.0,8.0,24.0,32.0,,Polivalente,Larga,Medio,Alta,Hilo,EVA Convencional,Michelin,Antirrocas
Adidas,Terrex Agravic Pro,2022-07-17,280.0,320.0,200.0,4.0,29.0,33.0,5.0,Técnico,Maratón,Ligero,Alta,Hilo,PEBA,Continental,Carbono
La Sportiva,Akasha II,2022-07-10,260.0,310.0,154.99,6.0,25.0,31.0,4.0,Polivalente,Ultra,Medio,Media,Hilo,,La Sportiva Frixion,
Asics,Gel Trabuco 10,2022-07-07,275.0,305.0,140.0,8.0,20.0,28.0,,Polivalente,Ultra,Medio,Alta,Hilo,EVA Bio/Orgánica,Asicsgrip,Antirrocas
Scott,Supertrac RC 2,2022-06-05,230.0,270.0,159.95,5.0,17.5,22.5,6.0,Polivalente,Larga,Ligero,Alta,Hilo,EVA Convencional,,Antirrocas
On,Cloudvista,2022-06-02,235.0,280.0,149.95,7.0,22.0,28.0,,Polivalente,Corta,Ligero,Media,Hilo,EVA Modificada (OBC/Goma),On Running Missiongrip,TPU
Nike,Air Zoom Terra Kiger 8,2022-05-30,283.0,283.0,139.99,4.0,26.0,30.0,,Fácil/Rodador,Media,Ligero,Media,,,,
Raidlight,Revolutiv 2.0,2022-05-29,255.0,355.0,159.9,6.0,17.0,23.0,6.0,Técnico,Media,Ligero,Alta,Tela,,,
Topo Athletic,Runventure 4,2022-05-22,213.0,258.0,154.95,0.0,22.0,25.0,5.0,Fácil/Rodador,Media,Ligero,Media,Malla,EVA Convencional,Vibram,Antirrocas
Topo Athletic,MT-4,2022-05-12,244.0,303.0,154.9,3.0,22.0,25.0,,Polivalente,Media,Ligero,Alta,Malla,EVA Convencional,Vibram,
Altra,Mont Blanc,2022-05-10,197.0,280.0,190.0,0.0,30.0,30.0,,Polivalente,Ultra,Ligero,Alta,,EVA Convencional,Vibram,
The North Face,VECTIV Infinite,2022-05-04,273.0,307.0,160.0,6.0,23.0,29.0,3.5,Polivalente,Larga,Medio,Media,Keblar,PEBA,The North Face Surface CTRL,Carbono
Raidlight,Responsiv Ultra 2.0,2022-05-02,290.0,290.0,139.9,6.0,19.0,25.0,4.0,Fácil/Rodador,Ultra,Medio,Baja,,TPU,,
The North Face,VECTIV Enduris II,2022-04-25,265.0,309.0,140.0,6.0,25.0,31.0,3.5,Polivalente,Ultra,Medio,Media,,TPU,The North Face Surface CTRL,Carbono
Salomon,Ultra Glide,2022-04-17,220.0,260.0,139.99,6.0,26.0,32.0,4.0,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,Antirrocas
Scarpa,Golden Gate Kima RT,2022-04-13,255.0,290.0,189.0,6.0,16.0,22.0,4.0,Técnico,Corta,Ligero,Alta,Malla,EVA Convencional,,Carbono
Saucony,Peregrine 12,2022-04-11,235.0,275.0,145.0,4.0,22.5,26.5,5.0,Polivalente,Corta,Ligero,Media,Hilo,TPU,Saucony Pwrtrac,Antirrocas
Speedland,SL PDX,2022-04-07,292.0,292.0,375.0,5.0,23.0,28.0,6.0,Polivalente,Maratón,Ligero,Alta,Hilo,,Michelin,Carbono
Scarpa,Spin Infinity GTX,2022-04-05,330.0,330.0,169.0,4.0,22.0,26.0,,Polivalente,Ultra,Medio,Alta,Membrana,EVA Convencional,Vibram,
New Balance,Fresh Foam More Trail v2,2022-03-21,258.0,330.0,160.0,5.0,30.0,34.0,6.5,Polivalente,Larga,Medio,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,
Dynafit,Ultra 50 GTX,2022-03-20,310.0,310.0,160.0,8.0,22.0,30.0,,Polivalente,Ultra,Medio,Alta,Membrana,,Pomoca,
Salomon,Alphacross 3,2022-03-17,305.0,305.0,90.0,10.0,19.0,29.0,5.0,Barro/Blando,Corta,Medio,Alta,Hilo,EVA Convencional,Salomon Contagrip,
Scarpa,Ribelle Run,2022-03-15,280.0,280.0,149.0,4.0,20.5,24.5,4.0,Técnico,Ultra,Ligero,Alta,Hilo,EVA Convencional,,TPU
Salomon,Cross Pro 2,2022-03-14,260.0,290.0,160.0,8.0,17.0,25.0,6.0,Barro/Blando,Maratón,Ligero,Media,Keblar,EVA Convencional,,
Salomon,Supercross 3,2022-03-10,305.0,305.0,109.99,10.0,19.0,29.0,5.0,Barro/Blando,Media,Medio,Alta,Hilo,EVA Convencional,Salomon Contagrip,
CimAlp,X-Trail,2022-02-22,270.0,270.0,149.9,6.0,20.0,26.0,,Compacto/Roca,Media,Ligero,Alta,Malla,EVA Convencional,Vibram,
Tecnica,Magma S GTX,2022-01-30,320.0,320.0,169.0,8.0,15.0,23.0,,Técnico,Larga,Pesado,Alta,Membrana,EVA Convencional,Vibram,
On,Cloudventure Peak,2022-01-27,210.0,260.0,159.95,4.0,18.0,24.0,,Fácil/Rodador,Media,Ligero,Baja,Malla,EVA Modificada (OBC/Goma),On Running Missiongrip,Antirrocas
Inov-8,RocFly G 390,2022-01-24,390.0,390.0,200.0,6.0,19.0,25.0,4.0,Polivalente,Larga,Pesado,Alta,,EVA Modificada (OBC/Goma),Inov-8 G-Grip (Grafeno),
Enda,Koobi Fora,2022-01-13,275.0,275.0,145.0,4.0,24.0,28.0,,Fácil/Rodador,Corta,Ligero,Alta,Hilo,EVA Convencional,,TPU
La Sportiva,Bushido 2 GTX,2021-12-27,330.0,330.0,175.99,6.0,19.0,25.0,,Compacto/Roca,Maratón,Medio,Baja,Membrana,EVA Convencional,La Sportiva Frixion,TPU
Asics,Fuji Lite 2,2021-12-23,255.0,255.0,130.0,4.0,24.0,28.0,,Polivalente,Media,Ligero,Alta,,EVA Bio/Orgánica,Asicsgrip,Antirrocas
Icebug,Sisu RB9X,2021-12-21,240.0,240.0,189.95,4.0,25.0,29.0,,Polivalente,Corta,Ligero,Alta,Hilo,,Icebug RB9x,
Hoka,Zinal,2021-11-23,199.0,242.0,160.0,5.0,25.0,30.0,,Compacto/Roca,Maratón,Medio,Alta,,EVA Convencional,Vibram,Antirrocas
Saucony,Xodus 11,2021-11-11,341.0,341.0,160.0,4.0,26.0,32.0,5.0,Polivalente,Ultra,Pesado,Alta,Hilo,PEBA,Saucony Pwrtrac,
Topo Athletic,Terraventure 3,2021-10-31,289.0,289.0,159.0,3.0,22.0,25.0,,Polivalente,Maratón,Medio,Alta,Hilo,EVA Convencional,Vibram,Antirrocas
Topo Athletic,MTN Racer 2,2021-10-14,227.0,283.0,175.0,5.0,25.0,30.0,,Polivalente,Media,Medio,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,Antirrocas
Inov-8,TrailFly Ultra G 300 Max,2021-10-13,300.0,300.0,195.0,6.0,19.0,25.0,,Polivalente,Larga,Medio,Alta,,EVA Modificada (OBC/Goma),Inov-8 G-Grip (Grafeno),
Salewa,Ultra Flex 2 Mid Gore-Tex,2021-10-04,418.0,418.0,190.0,8.0,18.0,26.0,,Compacto/Roca,Ultra,Pesado,Alta,Membrana,,Pomoca,
Altra,Lone Peak 5,2021-10-03,305.0,305.0,150.0,0.0,25.0,25.0,,Polivalente,Media,Ligero,Media,Hilo,,Altra Maxtrac,Antirrocas
Merrell,MTL Skyfire Race Day,2021-09-30,242.0,242.0,115.0,6.0,16.0,20.0,5.0,Polivalente,Corta,Medio,Alta,Malla,EVA Convencional,Asics AHAR,TPU
On,Cloudultra,2021-09-27,245.0,295.0,189.95,8.0,21.0,29.0,,Compacto/Roca,Ultra,Ligero,Alta,,EVA Modificada (OBC/Goma),On Running Missiongrip,
Topo Athletic,Ultraventure 2,2021-09-23,296.0,296.0,170.0,5.0,25.0,30.0,6.0,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,
Altra,Superior 5,2021-09-21,251.0,251.0,140.0,0.0,21.0,21.0,3.0,Fácil/Rodador,Corta,Ligero,Baja,Hilo,,,Antirrocas
Salomon,Sense Flow 2,2021-09-20,251.0,251.0,99.99,8.0,17.0,23.0,3.0,Fácil/Rodador,Corta,Medio,Media,Malla,EVA Convencional,Salomon Contagrip,
CimAlp,864 Drop Evo F,2021-09-19,275.0,275.0,169.9,8.0,17.0,25.0,3.0,Fácil/Rodador,Media,Medio,Alta,Malla,,Vibram,
Adidas,Terrex Speed Ultra,2021-09-14,245.0,245.0,180.0,8.0,24.0,32.0,2.5,Compacto/Roca,Ultra,Ligero,Alta,Hilo,TPU,Continental,
Altra,Timp 3,2021-09-07,311.0,311.0,160.0,0.0,29.0,29.0,,Fácil/Rodador,Larga,Medio,Baja,Malla,EVA Convencional,,Antirrocas
Mizuno,Wave Mujin 8,2021-09-06,360.0,360.0,150.0,10.0,28.0,38.0,2.0,Polivalente,Ultra,Pesado,Media,Malla,,Michelin,
Topo Athletic,Ultraventure Pro,2021-09-05,295.0,295.0,179.0,5.0,25.0,30.0,6.0,Compacto/Roca,Ultra,Medio,Alta,Hilo,EVA Convencional,Vibram,TPU
Joma,Sierra 5,2021-08-22,327.0,327.0,70.0,10.0,18.0,28.0,3.0,Compacto/Roca,Media,Pesado,Alta,,EVA Convencional,,
Salomon,Wings Sky,2021-08-05,310.0,310.0,129.99,8.0,19.0,29.0,4.5,Técnico,Ultra,Medio,Alta,Malla,TPU,Salomon Contagrip,TPU
Salewa,Dropline Mid,2021-08-01,370.0,370.0,220.0,6.0,20.0,26.0,4.0,Técnico,Larga,Medio,Alta,,EVA Convencional,Pomoca,
Asics,Trabuco Max,2021-07-25,295.0,295.0,160.0,5.0,30.0,35.0,,Polivalente,Ultra,Medio,Media,Hilo,EVA Convencional,Asicsgrip,
Dynafit,Alpine DNA,2021-07-11,230.0,270.0,175.0,6.0,24.0,30.0,,Técnico,Media,Ligero,Alta,Hilo,,Vibram,
Salomon,Sense Feel 2,2021-07-01,248.0,248.0,79.99,8.0,17.0,23.0,,Fácil/Rodador,Corta,Ligero,Baja,Malla,,Salomon Contagrip,Antirrocas
Merrell,Trail Glove 6,2021-06-15,238.0,238.0,120.0,0.0,14.0,14.0,3.0,Polivalente,Media,Ligero,Baja,Malla,,Vibram,
La Sportiva,Karacal,2021-06-13,290.0,290.0,154.99,7.0,22.0,29.0,3.5,Polivalente,Larga,Medio,Alta,,EVA Convencional,La Sportiva Frixion,Antirrocas
Dynafit,Alpine,2021-05-27,260.0,260.0,155.0,6.0,24.0,30.0,,Polivalente,Media,Ligero,Alta,Malla,EVA Convencional,Vibram,
Salomon,S-Lab Ultra 3 - 2020,2021-04-27,295.0,295.0,179.99,8.0,20.0,28.0,4.0,Polivalente,Ultra,Medio,Alta,Tela,EVA Convencional,Salomon Contagrip,
Salomon,Sense Ride 4,2021-04-20,235.0,290.0,119.99,8.0,19.0,27.0,3.0,Polivalente,Larga,Medio,Alta,Malla,,Salomon Contagrip,
Salomon,X Ultra 4 Gore-Tex,2021-04-18,390.0,390.0,149.99,11.0,20.0,31.0,,Polivalente,Larga,Pesado,Alta,Membrana,EVA Convencional,Salomon Contagrip,
Salomon,Wildcross,2021-04-15,290.0,290.0,129.99,8.0,19.0,29.0,,Barro/Blando,Media,Medio,Alta,Hilo,EVA Convencional,Salomon Contagrip,
Hoka,Mafate Speed 3,2021-04-11,316.0,316.0,170.0,4.0,29.0,33.0,5.0,Técnico,Ultra,Pesado,Media,,EVA Convencional,Vibram,
Mizuno,Wave Daichi 6,2021-04-06,300.0,300.0,135.0,8.0,24.0,32.0,2.0,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,Michelin,
Inov-8,Terraultra G 270,2021-04-05,270.0,270.0,170.0,0.0,21.0,21.0,4.0,Polivalente,Larga,Medio,Alta,,EVA Convencional,Inov-8 G-Grip (Grafeno),
New Balance,Fresh Foam Hierro v6 W,2021-03-31,281.0,281.0,140.0,8.0,20.0,28.0,,Polivalente,Ultra,Medio,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,TPU
New Balance,Fresh Foam Hierro v6,2021-03-18,339.0,339.0,140.0,8.0,20.0,28.0,,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Modificada (OBC/Goma),Vibram,
Hoka,Challenger ATR 6,2021-03-15,279.0,279.0,130.0,5.0,24.0,29.0,4.0,Polivalente,Media,Medio,Alta,Hilo,EVA Convencional,,
La Sportiva,Jackal GTX,2021-03-08,315.0,315.0,179.99,7.0,22.0,29.0,,Compacto/Roca,Ultra,Ligero,Baja,Membrana,TPU,La Sportiva Frixion,
The North Face,Flight VECTIV,2021-03-04,245.0,285.0,200.0,6.0,19.0,25.0,3.5,Fácil/Rodador,Ultra,Medio,Baja,Keblar,,The North Face Surface CTRL,Carbono
Asics,FujiTrabuco Sky,2021-03-01,221.0,221.0,150.0,4.0,18.0,22.0,,Compacto/Roca,Corta,Ligero,Media,Malla,EVA Bio/Orgánica,Asicsgrip,Antirrocas
New Balance,Shando Ruju W,2021-02-28,282.0,282.0,90.0,8.0,22.0,28.0,,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,,
Kailas,Fuga EX,2021-02-18,263.0,263.0,139.0,8.0,28.0,36.0,4.0,Técnico,Maratón,Ligero,Alta,Malla,EVA Convencional,Vibram,
New Balance,Shando Ruju,2021-02-09,332.0,332.0,90.0,8.0,22.0,28.0,,Fácil/Rodador,Ultra,Pesado,Alta,Malla,,,
Mizuno,Wave Ibuki 3,2021-02-01,330.0,330.0,100.0,10.0,22.0,30.0,,Fácil/Rodador,Media,Ligero,Alta,Malla,,,
Kailas,Fuga Pro 3,2021-01-24,256.0,256.0,190.0,8.0,23.0,31.0,4.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,Vibram,
New Balance,Fresh Foam More Trail v1,2021-01-19,308.0,308.0,150.0,4.0,30.0,34.0,,Fácil/Rodador,Maratón,Medio,Media,,EVA Modificada (OBC/Goma),Saucony Hydrohesion,
New Balance,Fresh Foam Hierro v5 GTX,2021-01-10,,,160.0,8.0,20.0,28.0,,Polivalente,Ultra,Pesado,Alta,Membrana,EVA Modificada (OBC/Goma),Vibram,
Salomon,S-Lab Cross,2021-01-06,230.0,230.0,179.99,4.0,18.0,22.0,5.0,Barro/Blando,Media,Ligero,Alta,Keblar,EVA Convencional,Salomon Contagrip,
Brooks,Cascadia 15,2020-12-27,311.0,311.0,140.0,8.0,20.0,28.0,4.0,Polivalente,Larga,Medio,Alta,Malla,EVA Bio/Orgánica,,
Dynafit,Sky Pro,2020-12-22,280.0,280.0,250.0,4.0,20.0,28.0,,Técnico,Corta,Ligero,Media,,,Vibram,
Evadict,MT Cushion,2020-12-21,280.0,280.0,89.99,4.0,18.0,22.0,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,,
Mizuno,Wave Mujin 7,2020-12-14,380.0,380.0,145.0,10.0,28.0,38.0,,Polivalente,Ultra,Pesado,Alta,Malla,,Michelin,
Altra,Superior 4.5,2020-12-08,252.0,252.0,130.0,0.0,21.0,21.0,,Compacto/Roca,Corta,Ligero,Baja,,,,Antirrocas
Adidas,Terrex Agravic Flow,2020-12-03,310.0,310.0,139.95,7.0,27.0,35.0,3.0,Polivalente,Maratón,Medio,Alta,,EVA Convencional,Continental,
New Balance,Fresh Foam More Trail v1 W,2020-11-29,270.0,270.0,150.0,4.0,30.0,34.0,3.0,Fácil/Rodador,Ultra,Ligero,Alta,Malla,EVA Convencional,Saucony Hydrohesion,
Asics,FujiTrabuco 8,2020-11-19,330.0,330.0,140.0,8.0,20.0,28.0,,Polivalente,Ultra,Pesado,Media,,EVA Bio/Orgánica,Asicsgrip,TPU
Merrell,Rubato,2020-11-16,295.0,295.0,140.0,0.0,31.0,31.0,4.0,Fácil/Rodador,Media,Medio,Alta,Malla,EVA Convencional,Vibram,
Scott,Kinabalu 2,2020-11-10,290.0,290.0,139.9,8.0,21.0,29.0,5.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,,
New Balance,Nitrel v4,2020-11-03,294.0,294.0,80.0,6.0,18.0,26.0,,Fácil/Rodador,Media,Ligero,Alta,Malla,,,
Evadict,MT2,2020-10-19,310.0,310.0,79.99,8.0,18.0,22.0,5.0,Polivalente,Media,Pesado,Alta,,EVA Convencional,,
Salewa,Dropline,2020-10-05,340.0,340.0,155.0,6.0,20.0,26.0,6.0,Técnico,Ultra,Pesado,Alta,Malla,EVA Convencional,Pomoca,
Inov-8,Trailroc G 280,2020-10-01,280.0,280.0,165.0,8.0,12.0,20.0,4.0,Compacto/Roca,Ultra,Medio,Alta,Keblar,EVA Convencional,Inov-8 G-Grip (Grafeno),Antirrocas
La Sportiva,Helios 3,2020-09-27,219.0,219.0,129.99,4.0,16.0,20.0,1.0,Fácil/Rodador,Corta,Medio,Media,,EVA Convencional,La Sportiva Frixion,Antirrocas
Tecnica,Plasma S,2020-09-21,415.0,415.0,179.95,9.0,15.0,24.0,,Técnico,Ultra,Pesado,Media,Membrana,EVA Convencional,Vibram,
La Sportiva,Lycan II,2020-09-17,270.0,305.0,149.99,6.0,22.0,28.0,,Polivalente,Media,Pesado,Alta,Malla,,La Sportiva Frixion,
Mammut,Saentis Low,2020-09-13,340.0,340.0,130.0,7.0,22.0,29.0,,Polivalente,Media,Medio,Alta,Membrana,,Michelin,
Nvii,Terra TT,2020-09-01,229.0,229.0,165.0,6.0,17.0,23.0,,Barro/Blando,Maratón,Ligero,Media,Hilo,,,Antirrocas
Scarpa,Spin Ultra,2020-08-23,270.0,270.0,155.0,6.0,24.0,18.0,4.0,Polivalente,Ultra,Ligero,Alta,Hilo,EVA Convencional,Vibram,
Topo Athletic,Ultraventure,2020-08-20,317.0,317.0,152.0,,,,6.0,Fácil/Rodador,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,
Hoka,Challenger ATR 5 Gore-Tex,2020-08-13,297.0,297.0,140.0,5.0,24.0,29.0,4.0,Fácil/Rodador,Larga,Medio,Alta,Membrana,EVA Convencional,,
Salomon,XA Pro 3D v8,2020-08-11,340.0,340.0,129.99,11.0,17.0,27.0,,Técnico,Larga,Pesado,Alta,Piel/Cuero,EVA Convencional,Salomon Contagrip,
La Sportiva,Jackal,2020-08-09,300.0,300.0,159.99,7.0,22.0,29.0,,Compacto/Roca,Larga,Ligero,Baja,,EVA Convencional,La Sportiva Frixion,
OriocX,Malmo,2020-08-04,250.0,250.0,115.0,6.0,19.0,25.0,,Barro/Blando,Corta,Ligero,Alta,,EVA Convencional,,TPU
Dynafit,Ultra 100 W - 2020,2020-07-28,270.0,270.0,150.0,6.0,26.0,32.0,6.0,Polivalente,Ultra,Medio,Alta,Malla,,Pomoca,
Merrell,MTL Skyfire,2020-07-27,242.0,242.0,115.0,6.0,16.0,20.0,5.0,Polivalente,Corta,Medio,Alta,Malla,EVA Convencional,Asics AHAR,TPU
Altra,Timp 2.0,2020-07-26,281.0,281.0,150.0,0.0,29.0,29.0,4.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,Altra Maxtrac,
Salomon,Cross Pro,2020-07-23,290.0,290.0,159.99,8.0,17.0,25.0,,Barro/Blando,Media,Medio,Alta,Keblar,EVA Convencional,Salomon Contagrip,
Scott,Kinabalu Ultra RC,2020-07-15,270.0,270.0,159.95,8.0,21.0,29.0,,Compacto/Roca,Ultra,Medio,Baja,,,,Antirrocas
Altra,Lone Peak 4.5,2020-07-13,298.0,298.0,140.0,0.0,25.0,25.0,,Polivalente,Media,Ligero,Media,Hilo,EVA Convencional,,Antirrocas
Dynafit,Ultra 100 - 2020,2020-06-25,310.0,310.0,150.0,6.0,26.0,30.0,,Polivalente,Ultra,Pesado,Alta,,,Pomoca,
New Balance,Fresh Foam Kaymin Trail v2,2020-06-21,,,90.0,10.0,22.0,28.0,,Fácil/Rodador,Corta,Ligero,Alta,Hilo,EVA Modificada (OBC/Goma),,
Adidas,Terrex Two Boa,2020-06-16,310.0,310.0,129.95,6.0,23.0,29.0,4.0,Polivalente,Ultra,Medio,Media,Malla,EVA Convencional,Continental,Antirrocas
Hoka,TenNine,2020-06-14,360.0,360.0,250.0,4.0,32.0,37.0,,Fácil/Rodador,Ultra,Pesado,Alta,Aislamiento,EVA Convencional,,
Dynafit,Feline SL,2020-06-11,250.0,290.0,150.0,8.0,20.0,28.0,,Polivalente,Media,Medio,Alta,Hilo,,Pomoca,
Salomon,S-Lab Sense 8 SG,2020-06-09,205.0,205.0,179.99,4.0,15.0,19.0,6.0,Barro/Blando,Corta,Ligero,Media,Malla,EVA Convencional,Salomon Contagrip,Antirrocas
New Balance,Summit Unknown v2,2020-06-04,252.0,252.0,120.0,9.0,22.0,28.0,6.0,Polivalente,Corta,Medio,Alta,,,Saucony Hydrohesion,Antirrocas
Salomon,S-Lab Sense 8,2020-06-02,195.0,195.0,179.99,4.0,15.0,19.0,,Compacto/Roca,Media,Ligero,Media,Malla,EVA Convencional,Salomon Contagrip,
Merrell,MTL Long Sky,2020-05-25,280.0,280.0,145.0,8.0,20.0,28.0,5.0,Polivalente,Larga,Medio,Alta,Hilo,EVA Convencional,Vibram,
Salomon,Sense Ride 3,2020-05-14,,,129.99,8.0,19.0,27.0,,Polivalente,Larga,Medio,Alta,Malla,EVA Modificada (OBC/Goma),Salomon Contagrip,
Salomon,Sense Pro 4,2020-05-05,255.0,255.0,149.99,4.0,17.0,25.0,,Polivalente,Maratón,Ligero,Alta,Malla,,Salomon Contagrip,
Mizuno,Wave Hayate 6,2020-04-30,290.0,290.0,130.0,9.0,16.0,26.0,5.0,Polivalente,Media,Ligero,Alta,Malla,,Michelin,Antirrocas
